,team_name,Section,Year,medal_awarded,award,wiki_link
133,NTHU_Formosa,Overgrad,2018,Gold,"Nominated for Best Diagnostics Project, Overgrad",http://2018.igem.org/Team:NTHU_Formosa
134,NTHU_Formosa,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:NTHU_Formosa
135,NTNU_Trondheim,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:NTNU_Trondheim
136,NTU-Singapore,Overgrad,2018,Gold,"Nominated for Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:NTU-Singapore
137,NTU-Singapore,Overgrad,2018,Gold,"Best New Basic Part, Overgrad",http://2018.igem.org/Team:NTU-Singapore
138,NTU-Singapore,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:NTU-Singapore
139,NUS_Singapore-A,Undergrad,2018,Gold,Nominated for Best Manufacturing Project,http://2018.igem.org/Team:NUS_Singapore-A
140,NUS_Singapore-A,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:NUS_Singapore-A
141,NU_Kazakhstan,Undergrad,2018,Gold,Nominated for Best Environment Project,http://2018.igem.org/Team:NU_Kazakhstan
142,NYMU-Taipei,Undergrad,2018,Gold,Nominated for Best New Application Project,http://2018.igem.org/Team:NYMU-Taipei
143,NYU_Abu_Dhabi,Undergrad,2018,Gold,Nominated for Best Diagnostics Project,http://2018.igem.org/Team:NYU_Abu_Dhabi
144,OUC-China,Undergrad,2018,Gold,Best Foundational Advance Project,http://2018.igem.org/Team:OUC-China
145,OUC-China,Undergrad,2018,Gold,Nominated for Best Foundational Advance Project,http://2018.igem.org/Team:OUC-China
146,OUC-China,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:OUC-China
147,Oxford,Undergrad,2018,Gold,Best Therapeutics Project,http://2018.igem.org/Team:Oxford
