,team_name,Section,Year,medal_awarded,award,wiki_link
278,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Valencia_UPV
279,Valencia_UPV,Undergrad,2018,Gold,Best Hardware,http://2018.igem.org/Team:Valencia_UPV
280,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:Valencia_UPV
281,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Part Collection,http://2018.igem.org/Team:Valencia_UPV
282,Vilnius-Lithuania-OG,Overgrad,2018,Gold,"Nominated for Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:Vilnius-Lithuania-OG
283,Vilnius-Lithuania-OG,Overgrad,2018,Gold,"Best Model, Overgrad",http://2018.igem.org/Team:Vilnius-Lithuania-OG
284,Vilnius-Lithuania-OG,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Vilnius-Lithuania-OG
285,Vilnius-Lithuania-OG,Overgrad,2018,Gold,"Nominated for Best New Composite Part, Overgrad",http://2018.igem.org/Team:Vilnius-Lithuania-OG
286,Vilnius-Lithuania-OG,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:Vilnius-Lithuania-OG
287,Warwick,Undergrad,2018,Gold,,http://2018.igem.org/Team:Warwick
288,WHU-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:WHU-China
289,William_and_Mary,Undergrad,2018,Gold,,http://2018.igem.org/Team:William_and_Mary
290,XJTU-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:XJTU-China
291,XMU-China,Overgrad,2018,Gold,,http://2018.igem.org/Team:XMU-China
292,ZJU-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:ZJU-China
293,ZJUT-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:ZJUT-China
