School,Section,Year,Wiki hyperlink,Award,Outreach Category,Outreach Project,Project Tag,Audience,Goal,Description
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,Introduction to Molecular Biology Online,Educational Material,Scientific Community,Science Education,Designed and published molecular biology learning activities
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,Engineering Design Partnership,Educational Material,University Students,Science Education,Partnered with an introductory engineering course and provided a biology lesson plan
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,SHAD,Teaching Activity,Secondary School Students,"Science Education, Educate on Synthetic Biology",Teamed up with a summer enrichment program to give lectures to high students about synthetic and molecular biology
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,QGEM 2015 Public Seminar,Teaching Activity,General Public,Educate on Synthetic Biology,Held a public seminar to educate members of their community about synthetic biology
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Laboratory Open Day,Community Event,Secondary School Students,Educate on Synthetic Biology,Hosted an open lab for visiting secondary school students
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,GMO Handbook,Educational Material,General Public,Educate on Synthetic Biology,Created a book to educate the public about GMOs
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Spread Scientific Knowledge to Countrysides,Educational Material,Specialized Audience,Educate on Synthetic Biology,Sent handbooks about modern agriculture to farmers in the countryside
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,,Integrated Human Practices,GMO Handbook,Educational Material,General Public,Discuss Ethics and Safety,"Composed a handbook  on GMOs based on lectures, talks, and surveys"
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Bauhinia Festival on Science and Culture,Fair Booth,General Public,Educate on Synthetic Biology,"Attended the Bauhinia Festival on Science and Culture  to talk about fluorescent proteins, microscopes, and tissue culture technology"
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Innovative and Venture Talk,Project Presentation,University Students,Present iGEM Project,Presented iGEM project to students at the university and discussed how to get in touch with professors
